date,unit,shift,skill_code,required_skill,qualified_assigned,skill_shortfall
2025-11-03,Emergency,Day,ED_TRIAGE,4,4,0
2025-11-03,Emergency,Evening,ED_TRIAGE,4,2,2
2025-11-03,Emergency,Night,ED_TRIAGE,3,3,0
2025-11-03,ICU,Day,ICU_CERT,3,4,0
2025-11-03,ICU,Day,VENT,2,2,0
2025-11-03,ICU,Evening,ICU_CERT,3,3,0
2025-11-03,ICU,Evening,VENT,2,2,0
2025-11-03,ICU,Night,ICU_CERT,3,3,0
2025-11-03,ICU,Night,VENT,2,3,0
2025-11-03,Pediatrics,Day,PED_CERT,3,0,3
2025-11-03,Pediatrics,Evening,PED_CERT,3,3,0
2025-11-03,Pediatrics,Night,PED_CERT,3,3,0
2025-11-03,Surgery,Day,OR_CERT,4,4,0
2025-11-03,Surgery,Day,SURG_ASSIST,3,3,0
2025-11-03,Surgery,Evening,OR_CERT,3,3,0
2025-11-03,Surgery,Evening,SURG_ASSIST,2,2,0
2025-11-03,Surgery,Night,OR_CERT,1,1,0
2025-11-03,Surgery,Night,SURG_ASSIST,1,1,0
2025-11-04,Emergency,Day,ED_TRIAGE,4,0,4
2025-11-04,Emergency,Evening,ED_TRIAGE,4,4,0
2025-11-04,Emergency,Night,ED_TRIAGE,3,4,0
2025-11-04,ICU,Day,ICU_CERT,3,2,1
2025-11-04,ICU,Day,VENT,2,1,1
2025-11-04,ICU,Evening,ICU_CERT,3,3,0
2025-11-04,ICU,Evening,VENT,2,2,0
2025-11-04,ICU,Night,ICU_CERT,3,4,0
2025-11-04,ICU,Night,VENT,2,2,0
2025-11-04,Pediatrics,Day,PED_CERT,3,2,1
2025-11-04,Pediatrics,Evening,PED_CERT,3,3,0
2025-11-04,Pediatrics,Night,PED_CERT,3,0,3
2025-11-04,Surgery,Day,OR_CERT,4,4,0
2025-11-04,Surgery,Day,SURG_ASSIST,3,4,0
2025-11-04,Surgery,Evening,OR_CERT,3,3,0
2025-11-04,Surgery,Evening,SURG_ASSIST,2,2,0
2025-11-04,Surgery,Night,OR_CERT,1,1,0
2025-11-04,Surgery,Night,SURG_ASSIST,1,1,0
2025-11-05,Emergency,Day,ED_TRIAGE,4,1,3
2025-11-05,Emergency,Evening,ED_TRIAGE,4,4,0
2025-11-05,Emergency,Night,ED_TRIAGE,3,1,2
2025-11-05,ICU,Day,ICU_CERT,3,1,2
2025-11-05,ICU,Day,VENT,2,2,0
2025-11-05,ICU,Evening,ICU_CERT,3,2,1
2025-11-05,ICU,Evening,VENT,2,2,0
2025-11-05,ICU,Night,ICU_CERT,3,3,0
2025-11-05,ICU,Night,VENT,2,3,0
2025-11-05,Pediatrics,Day,PED_CERT,3,4,0
2025-11-05,Pediatrics,Evening,PED_CERT,3,1,2
2025-11-05,Pediatrics,Night,PED_CERT,3,0,3
2025-11-05,Surgery,Day,OR_CERT,4,4,0
2025-11-05,Surgery,Day,SURG_ASSIST,3,4,0
2025-11-05,Surgery,Evening,OR_CERT,3,2,1
2025-11-05,Surgery,Evening,SURG_ASSIST,2,2,0
2025-11-05,Surgery,Night,OR_CERT,1,1,0
2025-11-05,Surgery,Night,SURG_ASSIST,1,2,0
2025-11-06,Emergency,Day,ED_TRIAGE,4,4,0
2025-11-06,Emergency,Evening,ED_TRIAGE,4,1,3
2025-11-06,Emergency,Night,ED_TRIAGE,3,1,2
2025-11-06,ICU,Day,ICU_CERT,3,3,0
2025-11-06,ICU,Day,VENT,2,2,0
2025-11-06,ICU,Evening,ICU_CERT,3,2,1
2025-11-06,ICU,Evening,VENT,2,2,0
2025-11-06,ICU,Night,ICU_CERT,3,3,0
2025-11-06,ICU,Night,VENT,2,2,0
2025-11-06,Pediatrics,Day,PED_CERT,3,2,1
2025-11-06,Pediatrics,Evening,PED_CERT,3,0,3
2025-11-06,Pediatrics,Night,PED_CERT,3,3,0
2025-11-06,Surgery,Day,OR_CERT,4,4,0
