episode,start_date,target_unit,target_shift,initial_coverage,ppo_final_coverage,baseline_final_coverage,ppo_final_shortage,baseline_final_shortage,ppo_final_skill_shortage,baseline_final_skill_shortage,ppo_workload_gini,baseline_workload_gini,ppo_total_reward,baseline_total_reward,ppo_reassignments,ppo_event_shortage_reduction,baseline_event_shortage_reduction,ppo_event_skill_shortage_reduction,baseline_event_skill_shortage_reduction,ppo_event_shortage_resolved,ppo_event_skill_shortage_resolved
1,2025-11-03,MedSurg,Day,0.375,0.3333333333333333,0.3333333333333333,124.0,124.0,9.0,9.0,0.5239439409696429,0.5239439409696429,-3.8520408163265305,0.0,7,0.0,0.0,0.0,0.0,0,0
2,2025-11-04,MedSurg,Day,0.32275132275132273,0.27807486631016043,0.27807486631016043,135.0,135.0,9.0,9.0,0.5319712290211613,0.5319712290211613,-5.954081632653061,0.0,7,0.0,0.0,0.0,0.0,0,0
3,2025-11-05,MedSurg,Day,0.24338624338624337,0.3191489361702128,0.3191489361702128,128.0,128.0,11.0,10.0,0.5319712290211613,0.5319712290211613,-8.85204081632653,0.0,7,0.0,0.0,-1.0,0.0,0,0
4,2025-11-06,MedSurg,Day,0.24210526315789474,0.2962962962962963,0.2962962962962963,133.0,133.0,9.0,8.0,0.5319712290211613,0.5319712290211613,-20.95204081632653,0.0,7,0.0,0.0,-3.0,0.0,0,0
5,2025-11-07,MedSurg,Day,0.18518518518518517,0.30687830687830686,0.30687830687830686,131.0,131.0,8.0,8.0,0.5319712290211613,0.5319712290211613,-23.05408163265306,0.0,7,0.0,0.0,-3.0,0.0,0,0
6,2025-11-08,MedSurg,Day,0.2620320855614973,0.2222222222222222,0.2222222222222222,147.0,147.0,21.0,20.0,0.5319712290211613,0.5319712290211613,-27.258163265306123,0.0,7,0.0,0.0,-3.0,0.0,0,0
7,2025-11-09,MedSurg,Day,0.3191489361702128,0.2887700534759358,0.2887700534759358,133.0,133.0,9.0,9.0,0.5319712290211613,0.5319712290211613,-23.05408163265306,0.0,7,0.0,0.0,-3.0,0.0,0,0
8,2025-11-10,MedSurg,Day,0.26455026455026454,0.21390374331550802,0.21390374331550802,147.0,147.0,19.0,21.0,0.5325786163522013,0.5325786163522013,-8.849999999999998,0.0,7,0.0,0.0,-1.0,0.0,0,0
9,2025-11-11,MedSurg,Day,0.30526315789473685,0.24867724867724866,0.24867724867724866,142.0,142.0,16.0,14.0,0.4994496855345911,0.4994496855345911,-18.05408163265306,0.0,7,0.0,0.0,-2.0,0.0,0,0
10,2025-11-12,MedSurg,Day,0.28272251308900526,0.26455026455026454,0.26455026455026454,139.0,139.0,12.0,11.0,0.4994496855345911,0.4994496855345911,-15.954081632653061,0.0,7,0.0,0.0,-2.0,0.0,0,0
11,2025-11-13,MedSurg,Day,0.2931937172774869,0.27979274611398963,0.27979274611398963,139.0,139.0,15.0,14.0,0.4994496855345911,0.4994496855345911,-27.258163265306123,0.0,7,0.0,0.0,-3.0,0.0,0,0
12,2025-11-14,MedSurg,Day,0.2094240837696335,0.3191489361702128,0.3191489361702128,128.0,128.0,3.0,3.0,0.4994496855345911,0.4994496855345911,-13.85,0.0,7,0.0,0.0,-2.0,0.0,0,0
13,2025-11-15,MedSurg,Day,0.2751322751322751,0.3036649214659686,0.3036649214659686,133.0,133.0,23.0,23.0,0.4994496855345911,0.4994496855345911,-15.95204081632653,0.0,7,0.0,0.0,-2.0,0.0,0,0
14,2025-11-16,MedSurg,Day,0.20105820105820105,0.36507936507936506,0.36507936507936506,120.0,120.0,8.0,8.0,0.4994496855345911,0.4994496855345911,-30.156122448979595,0.0,7,0.0,0.0,-4.0,0.0,0,0
15,2025-11-17,MedSurg,Day,0.2356020942408377,0.24210526315789474,0.24210526315789474,144.0,144.0,12.0,10.0,0.49953571075768055,0.49953571075768055,-32.254081632653055,0.0,7,0.0,0.0,-4.0,0.0,0,0
16,2025-11-18,MedSurg,Day,0.2513089005235602,0.2222222222222222,0.2222222222222222,147.0,147.0,21.0,21.0,0.4623509525332359,0.4623509525332359,-23.049999999999997,0.0,7,0.0,0.0,-3.0,0.0,0,0
17,2025-11-19,MedSurg,Day,0.26666666666666666,0.291005291005291,0.291005291005291,134.0,134.0,6.0,5.0,0.4623509525332359,0.4623509525332359,-25.152040816326533,0.0,7,0.0,0.0,-3.0,0.0,0,0
18,2025-11-20,MedSurg,Day,0.30526315789473685,0.3368421052631579,0.3368421052631579,126.0,126.0,10.0,10.0,0.4623509525332359,0.4623509525332359,-23.05204081632653,0.0,7,0.0,0.0,-3.0,0.0,0,0
19,2025-11-21,MedSurg,Day,0.29015544041450775,0.3368421052631579,0.3368421052631579,126.0,126.0,7.0,6.0,0.4623509525332359,0.4623509525332359,-30.15408163265306,0.0,7,0.0,0.0,-4.0,0.0,0,0
20,2025-11-22,MedSurg,Day,0.3507853403141361,0.28191489361702127,0.28191489361702127,135.0,135.0,14.0,14.0,0.4623509525332359,0.4623509525332359,-32.25612244897959,0.0,7,0.0,0.0,-4.0,0.0,0,0
