episode,start_date,target_unit,target_shift,initial_coverage,ppo_final_coverage,baseline_final_coverage,ppo_final_shortage,baseline_final_shortage,ppo_final_skill_shortage,baseline_final_skill_shortage,ppo_workload_gini,baseline_workload_gini,ppo_total_reward,baseline_total_reward,ppo_reassignments
1,2025-11-03,MedSurg,Day,0.24479166666666666,0.31958762886597936,0.31958762886597936,132.0,132.0,12.0,10.0,0.5262042493377304,0.5262042493377304,-87.46428571428572,0.0,7
2,2025-11-04,MedSurg,Day,0.31746031746031744,0.26737967914438504,0.26737967914438504,137.0,137.0,15.0,14.0,0.5195174760284564,0.5195174760284564,-75.21938775510205,0.0,7
3,2025-11-05,MedSurg,Day,0.30158730158730157,0.22872340425531915,0.22872340425531915,145.0,145.0,10.0,9.0,0.5159519725557462,0.5159519725557462,-75.21938775510205,0.0,7
4,2025-11-06,MedSurg,Day,0.28421052631578947,0.30687830687830686,0.30687830687830686,131.0,131.0,9.0,9.0,0.5201467505241091,0.5201467505241091,-75.21938775510205,0.0,7
5,2025-11-07,MedSurg,Day,0.17989417989417988,0.2804232804232804,0.2804232804232804,136.0,136.0,14.0,12.0,0.5268854711695998,0.5268854711695998,-75.21938775510205,0.0,7
6,2025-11-08,MedSurg,Day,0.1925133689839572,0.25925925925925924,0.25925925925925924,140.0,140.0,20.0,19.0,0.5314998401023345,0.5314998401023345,-50.72469387755102,0.0,7
7,2025-11-09,MedSurg,Day,0.3351063829787234,0.3076923076923077,0.3076923076923077,135.0,135.0,4.0,4.0,0.5308461168421614,0.5308461168421614,-75.21448979591837,0.0,7
8,2025-11-10,MedSurg,Day,0.2698412698412698,0.18421052631578946,0.18421052631578946,155.0,155.0,21.0,19.0,0.5236524841866248,0.5236524841866248,-87.45938775510204,0.0,7
9,2025-11-11,MedSurg,Day,0.23157894736842105,0.20103092783505155,0.20103092783505155,155.0,155.0,16.0,16.0,0.5191002323077796,0.5191002323077796,-62.97448979591837,0.0,7
10,2025-11-12,MedSurg,Day,0.3089005235602094,0.2275132275132275,0.2275132275132275,146.0,146.0,10.0,10.0,0.5179188107489994,0.5179188107489994,-50.7295918367347,0.0,7
11,2025-11-13,MedSurg,Day,0.28272251308900526,0.22279792746113988,0.22279792746113988,150.0,150.0,20.0,18.0,0.5264554843921296,0.5264554843921296,-75.2095918367347,0.0,7
12,2025-11-14,MedSurg,Day,0.2617801047120419,0.2712765957446808,0.2712765957446808,137.0,137.0,4.0,4.0,0.5231073841136735,0.5231073841136735,-62.96469387755103,0.0,7
13,2025-11-15,MedSurg,Day,0.32275132275132273,0.20418848167539266,0.20418848167539266,152.0,152.0,26.0,26.0,0.527270596507676,0.527270596507676,-50.7295918367347,0.0,7
14,2025-11-16,MedSurg,Day,0.19047619047619047,0.3163265306122449,0.3163265306122449,134.0,134.0,14.0,14.0,0.5206123175507298,0.5206123175507298,-26.225102040816324,0.0,7
15,2025-11-17,MedSurg,Day,0.2094240837696335,0.20526315789473684,0.20526315789473684,151.0,151.0,14.0,14.0,0.5436104993750372,0.5436104993750372,-50.71979591836735,0.0,7
16,2025-11-18,MedSurg,Day,0.23036649214659685,0.20634920634920634,0.20634920634920634,150.0,150.0,23.0,24.0,0.4619651510464997,0.4619651510464997,-13.994897959183676,0.0,7
17,2025-11-19,MedSurg,Day,0.22564102564102564,0.2751322751322751,0.2751322751322751,137.0,137.0,6.0,6.0,0.46382868132439325,0.46382868132439325,-13.994897959183673,0.0,7
18,2025-11-20,MedSurg,Day,0.2736842105263158,0.2578947368421053,0.2578947368421053,141.0,141.0,11.0,10.0,0.4599790356394129,0.4599790356394129,-50.7295918367347,0.0,7
19,2025-11-21,MedSurg,Day,0.20725388601036268,0.28426395939086296,0.28426395939086296,141.0,141.0,10.0,9.0,0.46957348977326774,0.46957348977326774,-26.249591836734695,0.0,7
20,2025-11-22,MedSurg,Day,0.3298429319371728,0.24468085106382978,0.24468085106382978,142.0,142.0,20.0,19.0,0.4668159044877944,0.4668159044877944,-75.21448979591838,0.0,7
